"Nome Completo";"Nome Urna";"Cargo";"Número";"Partido";"Coligação";"Situação";"Situação Pós-Pleito"
"ALEXANDRE DOS SANTOS SALGADO";"ALEXANDRE SALGADO";"Deputado Federal";7727;"SOLIDARIEDADE";"SOLIDARIEDADE";"Aguardando julgamento";"Concorrendo"
"CLAUDIO ALEXANDRE DA CRUZ WEISSHUHN";"ALEXANDRE WEISSHUHN";"Deputado Federal";3012;"NOVO";"NOVO";"Aguardando julgamento";"Concorrendo"
"ALEXANDRINA LOPES DE ALMEIDA FALCAO";"ALEXANDRINA FALCÃO";"Deputado Federal";7710;"SOLIDARIEDADE";"SOLIDARIEDADE";"Aguardando julgamento";"Concorrendo"
"ALEX CAMPANHAO DA SILVA";"ALEX CAMPANHAO";"Deputado Federal";5071;"PSOL";"Federação PSOL REDE(PSOL/REDE)";"Aguardando julgamento";"Concorrendo"
"ALEX SANDRO DA CONCEIÇÃO";"ALEX SANDRO VIGILANTE";"Deputado Federal";3693;"AGIR";"AGIR";"Aguardando julgamento";"Concorrendo"
"ALINE DO NASCIMENTO VIANA";"ALINE NASCIMENTO";"Deputado Federal";2805;"PRTB";"PRTB";"Aguardando julgamento";"Concorrendo"
"ALMIR OLIVEIRA MOURA";"ALMIR MOURA";"Deputado Federal";5180;"PATRIOTA";"PATRIOTA";"Aguardando julgamento";"Concorrendo"
"ALTINEU CORTES FREITAS COUTINHO";"ALTINEU CORTES";"Deputado Federal";2269;"PL";"PL";"Aguardando julgamento";"Concorrendo"
"ALVARO ALENCAR DE OLIVEIRA RODRIGUES";"ÁLVARO ALENCAR";"Deputado Federal";1345;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Aguardando julgamento";"Concorrendo"
"DENILSON ALVES PASSOS";"ALVES ASSISTENTE SOCIAL";"Deputado Federal";1426;"PTB";"PTB";"Aguardando julgamento";"Concorrendo"
"AMANDA PADILHA DA SILVA";"AMANDA PADILHA";"Deputado Federal";2016;"PSC";"PSC";"Aguardando julgamento";"Concorrendo"
"ANA CLAUDIA PORTO PAES";"ANA CLAUDIA";"Deputado Federal";5101;"PATRIOTA";"PATRIOTA";"Aguardando julgamento";"Concorrendo"
"ANA PAULA GOLDBACH";"ANA PAULA GOLDBACH";"Deputado Federal";1405;"PTB";"PTB";"Aguardando julgamento";"Concorrendo"
"ANA PAULA COUTINHO JORGE";"ANA PAULA SAMI JORGE";"Deputado Federal";7009;"AVANTE";"AVANTE";"Aguardando julgamento";"Concorrendo"
"ANATIELY MATTOS DE OLIVEIRA BARBOSA";"ANATIELY BARBOSA";"Deputado Federal";7772;"SOLIDARIEDADE";"SOLIDARIEDADE";"Aguardando julgamento";"Concorrendo"
"ANDERSON FRANCISCO PERCILIANO AMORIM";"ANDERSON AMORIM";"Deputado Federal";2730;"DC";"DC";"Aguardando julgamento";"Concorrendo"
"ANDERSON LUIS DE AZEVEDO BARRETO";"ANDERSON BARRETO";"Deputado Federal";2883;"PRTB";"PRTB";"Aguardando julgamento";"Concorrendo"
"ANDERSON ALVES BARRETO";"ANDERSON BARRETO";"Deputado Federal";3578;"PMB";"PMB";"Aguardando julgamento";"Concorrendo"
"ANDERSON LUIZ BRAVO";"ANDERSON BRAVO É FEDERAL";"Deputado Federal";3307;"PMN";"PMN";"Aguardando julgamento";"Concorrendo"
"ANDERSON DE SOUSA BESERRA LOPES";"ANDERSON PILOTO";"Deputado Federal";4078;"PSB";"PSB";"Aguardando julgamento";"Concorrendo"
"ANDERSON MELLO VILELA";"ANDERSON VILELA";"Deputado Federal";1153;"PP";"PP";"Aguardando julgamento";"Concorrendo"
"ANDREA DE ARAÚJO CASSA";"ANDREA CASSA";"Deputado Federal";5023;"PSOL";"Federação PSOL REDE(PSOL/REDE)";"Aguardando julgamento";"Concorrendo"
"ANDRÉ RICARDO DOS SANTOS AFFONSO";"ANDRÉ AFFONSO";"Deputado Federal";2850;"PRTB";"PRTB";"Aguardando julgamento";"Concorrendo"
"ANDREA GOMES FONTES RODRIGUES";"ANDREA FONTES";"Deputado Federal";2242;"PL";"PL";"Renúncia";"Concorrendo"
"ANDREA GUIMARÃES TAVARES ROCHA";"ANDREA GUIMARÃES";"Deputado Federal";9033;"PROS";"PROS";"Aguardando julgamento";"Concorrendo"
"ANDRÉA LUCIA LÖFGREN";"ANDRÉA LUCIA LÖFGREN";"Deputado Federal";7051;"AVANTE";"AVANTE";"Aguardando julgamento";"Concorrendo"
"ANDREA PAOLA COSTA PRADO";"ANDREA PAOLA A ARACI EMPREGADA";"Deputado Federal";2864;"PRTB";"PRTB";"Aguardando julgamento";"Concorrendo"
"ANDRE ARIGONE TELLES BARROS";"ANDRE ARIGONI";"Deputado Federal";3609;"AGIR";"AGIR";"Aguardando julgamento";"Concorrendo"
"ANDREA MARIA DE FARIA ANTUNES";"ANDREA SORVETÃO";"Deputado Federal";1027;"REPUBLICANOS";"REPUBLICANOS";"Aguardando julgamento";"Concorrendo"
"ANDREA DE MELLO VIEIRA SIQUEIRA";"ANDREA VIEIRA";"Deputado Federal";1258;"PDT";"PDT";"Aguardando julgamento";"Concorrendo"
"ANDRÉ MAGALHÃES BARROS";"ANDRÉ BARROS";"Deputado Federal";5042;"PSOL";"Federação PSOL REDE(PSOL/REDE)";"Aguardando julgamento";"Concorrendo"
"ANDRE LUIZ COSTA DE SOUZA";"ANDRE COSTA";"Deputado Federal";2356;"CIDADANIA";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Aguardando julgamento";"Concorrendo"
"ANDRÉ LUIZ LEITE DOS SANTOS";"ANDRÉ DE GILSON";"Deputado Federal";5525;"PSD";"PSD";"Aguardando julgamento";"Concorrendo"
"ANDREIA ALMEIDA ZITO DOS SANTOS";"ANDREIA ZITO";"Deputado Federal";5545;"PSD";"PSD";"Aguardando julgamento";"Concorrendo"
"ANDRÉ LUIZ LAZARONI DE MORAES";"ANDRE LAZARONI";"Deputado Federal";4321;"PV";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Aguardando julgamento";"Concorrendo"
"ANDRE LUIS SILVA DE MIRANDA";"ANDRÉ MIRANDA";"Deputado Federal";1138;"PP";"PP";"Aguardando julgamento";"Concorrendo"
"ANDRE LUIZ MONICA E SILVA";"ANDRE MONICA";"Deputado Federal";1211;"PDT";"PDT";"Aguardando julgamento";"Concorrendo"
"ANDRÉ SANTIAGO DA COSTA";"ANDRÉ SANTIAGO";"Deputado Federal";1533;"MDB";"MDB";"Aguardando julgamento";"Concorrendo"
"ANGELICA ROMÃO MARCELINO";"ANGÉLICA MARCELINO";"Deputado Federal";1505;"MDB";"MDB";"Aguardando julgamento";"Concorrendo"
"ANGELO SOUZA DE ALMEIDA";"ANGELO BRAU";"Deputado Federal";3524;"PMB";"PMB";"Aguardando julgamento";"Concorrendo"
"EVERALDO ANSELMO DE ARAUJO";"ANSELMO FOTÓGRAFO";"Deputado Federal";5198;"PATRIOTA";"PATRIOTA";"Aguardando julgamento";"Concorrendo"
"ANTONIA FONTENELE DE BRITO";"ANTONIA FONTENELLE";"Deputado Federal";1008;"REPUBLICANOS";"REPUBLICANOS";"Aguardando julgamento";"Concorrendo"
"ANTONIA MINDLIN LEITE BARBOSA";"ANTONIA LEITE BARBOSA";"Deputado Federal";2323;"CIDADANIA";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Aguardando julgamento";"Concorrendo"
"ANTÔNIO EUDES RODRIGUES";"ANTÔNIO EUDES";"Deputado Federal";4080;"PSB";"PSB";"Aguardando julgamento";"Concorrendo"
"ANTONIO LUIZ DE OLIVEIRA";"ANTÔNIO LUIZ";"Deputado Federal";1023;"REPUBLICANOS";"REPUBLICANOS";"Aguardando julgamento";"Concorrendo"
"ACHILLES ALMEIDA BARRETO NETO";"AQUILES BARRETO";"Deputado Federal";5544;"PSD";"PSD";"Aguardando julgamento";"Concorrendo"
"PAULO VITOR XAVIER SANTOS";"ARANHA";"Deputado Federal";1357;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Aguardando julgamento";"Concorrendo"
"CAROLINE ARIEL KIMBERLY MARTINS LEITE";"ARIEL MARTINS";"Deputado Federal";1406;"PTB";"PTB";"Aguardando julgamento";"Concorrendo"
"JOSÉ ARIMATHÉA OLIVEIRA";"ARIMATHÉA";"Deputado Federal";4010;"PSB";"PSB";"Aguardando julgamento";"Concorrendo"
"ARLEAN GOMES BUENO";"ARLEAN BUENO TAXISTA";"Deputado Federal";1003;"REPUBLICANOS";"REPUBLICANOS";"Aguardando julgamento";"Concorrendo"
"ARLEY SANTOS PEREIRA";"ARLEY SANTOS";"Deputado Federal";3507;"PMB";"PMB";"Aguardando julgamento";"Concorrendo"
"AROLDO ANTONIO DE OLIVEIRA MENDONÇA";"AROLDINHO FEDERAL";"Deputado Federal";2225;"PL";"PL";"Aguardando julgamento";"Concorrendo"
"AROLDO DE SOUZA NASCIMENTO";"AROLDO NASCIMENTO";"Deputado Federal";1475;"PTB";"PTB";"Aguardando julgamento";"Concorrendo"
"ARTHUR PEDRO DA SILVA COSTA";"ARTHUR COSTA";"Deputado Federal";1101;"PP";"PP";"Aguardando julgamento";"Concorrendo"
"ARI JORGE MESQUITA DE SOUZA";"ARY JORGE FAMÍLIA";"Deputado Federal";9080;"PROS";"PROS";"Aguardando julgamento";"Concorrendo"
"FRANCISCO DE ASSIS FREITAS";"ASSIS FREITAS";"Deputado Federal";6500;"PC do B";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Aguardando julgamento";"Concorrendo"
"ATAIDE FIGUEIRA CARNEIRO JUNIOR";"ATAIDE JUNIOR";"Deputado Federal";1121;"PP";"PP";"Aguardando julgamento";"Concorrendo"
"ÁTILA ALEXANDRE NUNES PEREIRA";"ÁTILA A. NUNES";"Deputado Federal";5507;"PSD";"PSD";"Aguardando julgamento";"Concorrendo"
"AUREO LIDIO MOREIRA RIBEIRO";"AUREO RIBEIRO";"Deputado Federal";7733;"SOLIDARIEDADE";"SOLIDARIEDADE";"Aguardando julgamento";"Concorrendo"
"VERA RAMOS DA SILVA";"""A VERA""";"Deputado Federal";7050;"AVANTE";"AVANTE";"Aguardando julgamento";"Concorrendo"
"JOÃO BATISTA OLIVEIRA DE ARAÚJO";"BABÁ";"Deputado Federal";5051;"PSOL";"Federação PSOL REDE(PSOL/REDE)";"Aguardando julgamento";"Concorrendo"
"PAULO CESAR BALTAZAR DA NÓBREGA";"BALTAZAR";"Deputado Federal";4450;"UNIÃO";"UNIÃO";"Aguardando julgamento";"Concorrendo"
"EDUARDO CARVALHO BANDEIRA DE MELLO";"BANDEIRA DE MELLO";"Deputado Federal";4000;"PSB";"PSB";"Aguardando julgamento";"Concorrendo"
"CLAUDIO HENRIQUE BARACK OBAMA DOS ANJOS";"BARACK OBAMA";"Deputado Federal";3696;"AGIR";"AGIR";"Aguardando julgamento";"Concorrendo"
"BARBARA CRISTINA TEIXEIRA DE OLIVEIRA";"BARBARA CRISTINA";"Deputado Federal";3355;"PMN";"PMN";"Aguardando julgamento";"Concorrendo"
"BARBARA CRISTINA BERNARDES FERREIRA";"BARBARA CRISTINA";"Deputado Federal";1527;"MDB";"MDB";"Aguardando julgamento";"Concorrendo"
"BEATRIZ MENDES DE MELO";"BEATRIZ MENDES";"Deputado Federal";2959;"PCO";"PCO";"Aguardando julgamento";"Concorrendo"
"BEATRIZ DOS SANTOS NASCIMENTO";"BEATRIZ NASCIMENTO";"Deputado Federal";2035;"PSC";"PSC";"Aguardando julgamento";"Concorrendo"
"CARLOS ROBERTO RODRIGUES";"BEBETO";"Deputado Federal";1433;"PTB";"PTB";"Aguardando julgamento";"Concorrendo"
"JOSÉ ROBERTO GAMA DE OLIVEIRA";"BEBETO TETRA";"Deputado Federal";5577;"PSD";"PSD";"Aguardando julgamento";"Concorrendo"
"LENILSON TEIXEIRA FAZOLO";"BED LENNY";"Deputado Federal";2812;"PRTB";"PRTB";"Aguardando julgamento";"Concorrendo"
"BENEDITA SOUZA DA SILVA SAMPAIO";"BENEDITA DA SILVA";"Deputado Federal";1377;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Aguardando julgamento";"Concorrendo"
"LEREMICE DOS ANJOS MACIEL";"BERE DOS ANJOS";"Deputado Federal";3637;"AGIR";"AGIR";"Aguardando julgamento";"Concorrendo"
"BERNARDO ABREU SAMPAIO";"BERNARDO ABREU";"Deputado Federal";3021;"NOVO";"NOVO";"Aguardando julgamento";"Concorrendo"
"ELIZABETE  LOURDES BARBOZA";"BETH LYRA";"Deputado Federal";3375;"PMN";"PMN";"Aguardando julgamento";"Concorrendo"
"ELIZABETH PATRICIA LAGE";"BETTY LAGE";"Deputado Federal";1144;"PP";"PP";"Aguardando julgamento";"Concorrendo"
"BIANCA AMORIM LIMA";"BIANCA AMORIM";"Deputado Federal";2248;"PL";"PL";"Aguardando julgamento";"Concorrendo"
"BIANCA DE CAMPOS CRUZ MACHADO";"BIANCA MACHADO";"Deputado Federal";2267;"PL";"PL";"Aguardando julgamento";"Concorrendo"
"FATIMA DENISE CAMPELO DE LIMA SOUZA";"BIANCA NALDY";"Deputado Federal";3669;"AGIR";"AGIR";"Aguardando julgamento";"Concorrendo"
"BEATRIZ PEREIRA CORBETA";"BIA PM";"Deputado Federal";2826;"PRTB";"PRTB";"Aguardando julgamento";"Concorrendo"
"BEATRIZ MACIEL PONTES";"BIA PONTES";"Deputado Federal";4006;"PSB";"PSB";"Aguardando julgamento";"Concorrendo"
"FLÁVIO JULIO NUNES PAIM";"BILICO PAIM";"Deputado Federal";5136;"PATRIOTA";"PATRIOTA";"Aguardando julgamento";"Concorrendo"
"ROBSON SOUZA SANTOS";"BINHO FAVELA";"Deputado Federal";1388;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Aguardando julgamento";"Concorrendo"
"HENRIQUE ABRAHÃO CHARLES";"BIÓLOGO HENRIQUE";"Deputado Federal";4090;"PSB";"PSB";"Aguardando julgamento";"Concorrendo"
"ROSILENE OLIMPIO DOS SANTOS";"BISPA ROSILENE OLIMPIO";"Deputado Federal";1277;"PDT";"PDT";"Aguardando julgamento";"Concorrendo"
"ANTONIO CARLOS DOS SANTOS RIBEIRO";"BISPO ANTÔNIO CARLOS";"Deputado Federal";1135;"PP";"PP";"Aguardando julgamento";"Concorrendo"
"JOÃO LUIS DUTRA LEITE";"BISPO JOÃO LEITE";"Deputado Federal";1500;"MDB";"MDB";"Aguardando julgamento";"Concorrendo"
"JOSIAS DA SILVA CARVALHO";"BISPO JOSIAS CARVALHO DA JUMEB";"Deputado Federal";3550;"PMB";"PMB";"Aguardando julgamento";"Concorrendo"
"PAULO JOSE DOS SANTOS DE OLIVEIRA";"BISPO PAULO SANTOS";"Deputado Federal";3505;"PMB";"PMB";"Aguardando julgamento";"Concorrendo"
"CARLOS HENRIQUE RIOS LEMOS";"BONECO";"Deputado Federal";1933;"PODE";"PODE";"Aguardando julgamento";"Concorrendo"
"VINICIUS DE FREITAS DOS SANTOS";"BONITÃO";"Deputado Federal";7055;"AVANTE";"AVANTE";"Aguardando julgamento";"Concorrendo"
"BRENO BARBOSA";"BRENO RIO";"Deputado Federal";1266;"PDT";"PDT";"Aguardando julgamento";"Concorrendo"
"BRUNO LOPES DE ALMEIDA";"BRUNO LOPES ";"Deputado Federal";1980;"PODE";"PODE";"Aguardando julgamento";"Concorrendo"
"BRUNO DA SILVA NASCIMENTO";"BRUNO NASCIMENTO";"Deputado Federal";1091;"REPUBLICANOS";"REPUBLICANOS";"Aguardando julgamento";"Concorrendo"
"ALONSIMAR DE OLIVEIRA PESSANHA";"CABO ALONSIMAR";"Deputado Federal";1903;"PODE";"PODE";"Aguardando julgamento";"Concorrendo"
"MARCELO SOARES CORREA";"CABO CORREA MOURAO";"Deputado Federal";3522;"PMB";"PMB";"Aguardando julgamento";"Concorrendo"
"JORDANE CABRAL DA SILVA";"CABO JORDANE CABRAL";"Deputado Federal";7021;"AVANTE";"AVANTE";"Aguardando julgamento";"Concorrendo"
"CAETANO ALBUQUERQUE SIGILIANO";"CAETANO ALBUQUERQUE ";"Deputado Federal";2949;"PCO";"PCO";"Aguardando julgamento";"Concorrendo"
"CAIO MARCELO DE ARAUJO LOPES";"CAIO LOPES";"Deputado Federal";2002;"PSC";"PSC";"Aguardando julgamento";"Concorrendo"
"CAIO SANTOS VIANNA";"CAIO VIANNA";"Deputado Federal";5589;"PSD";"PSD";"Aguardando julgamento";"Concorrendo"
"CAMILA APARECIDA MARINS ALVARENGA THEODORO";"CAMILA MARINS";"Deputado Federal";1329;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Aguardando julgamento";"Concorrendo"
"CAMILLA DA CUNHA SANTIAGO";"CAMILLA SANTIAGO";"Deputado Federal";3698;"AGIR";"AGIR";"Aguardando julgamento";"Concorrendo"
"ANA MARIA DA SILVA GONÇALVES";"CANTORA ANA GONÇALVES";"Deputado Federal";3330;"PMN";"PMN";"Aguardando julgamento";"Concorrendo"
"REGINA CÉLIA DE SOUZA BENTO SEQUEIRA";"CAPITÃ BRASIL";"Deputado Federal";1401;"PTB";"PTB";"Aguardando julgamento";"Concorrendo"
"PAULO ANTONIO DA SILVA";"CAPITÃO PAULO SILVA";"Deputado Federal";5161;"PATRIOTA";"PATRIOTA";"Aguardando julgamento";"Concorrendo"
"RAFAEL QUERIDO SOARES";"CAPITÃO RAFAEL O COELHÃO";"Deputado Federal";7766;"SOLIDARIEDADE";"SOLIDARIEDADE";"Aguardando julgamento";"Concorrendo"
"FELIPE HENRIQUES TEIXEIRA RAMOS";"CAPITÃO RAMOS";"Deputado Federal";3681;"AGIR";"AGIR";"Aguardando julgamento";"Concorrendo"
"CARLA ANTUNES MARINS PEREIRA";"CARLA MARINS";"Deputado Federal";1178;"PP";"PP";"Aguardando julgamento";"Concorrendo"
"CARLOS ALBERTO LOPES DE MAGALHÃES";"CARLÃO DA AGRICULTURA";"Deputado Federal";5140;"PATRIOTA";"PATRIOTA";"Aguardando julgamento";"Concorrendo"
"CARLA PIRANDA REBELLO";"CARLA PIRANDA";"Deputado Federal";4333;"PV";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Aguardando julgamento";"Concorrendo"
"CARLA RENATA LANDES ROSA MEDINA";"CARLA ROSA ";"Deputado Federal";3515;"PMB";"PMB";"Aguardando julgamento";"Concorrendo"
"LUIZ CARLOS ANDRADE DE SOUZA";"CARLINHO DA RECICLAGEM";"Deputado Federal";1236;"PDT";"PDT";"Aguardando julgamento";"Concorrendo"
"CARLOS ALBERTO DE OLIVEIRA RODRIGUES";"CARLINHO DA SAÚDE";"Deputado Federal";7715;"SOLIDARIEDADE";"SOLIDARIEDADE";"Aguardando julgamento";"Concorrendo"
"CARLOS CORREIA JUNIOR";"CARLINHOS DA PROF ODETTE";"Deputado Federal";1455;"PTB";"PTB";"Aguardando julgamento";"Concorrendo"
"LUIS CARLOS DA SILVA VIEIRA";"CARLINHOS JACARÉ";"Deputado Federal";3360;"PMN";"PMN";"Aguardando julgamento";"Concorrendo"
"FRANCISCO CARLOS DE FARIAS";"CARLINHOS MECÂNICO";"Deputado Federal";1113;"PP";"PP";"Aguardando julgamento";"Concorrendo"
"CARLOS ROBERTO DOS SANTOS";"CARLINHOS PRÓ-MENOR";"Deputado Federal";9051;"PROS";"PROS";"Aguardando julgamento";"Concorrendo"
"CARLOS ALBERTO DE SANT ANNA";"CARLINHOS SANTANA";"Deputado Federal";1588;"MDB";"MDB";"Aguardando julgamento";"Concorrendo"
"CARLOS ALEXANDRE DE OLIVEIRA";"CARLOS ALEXANDRE";"Deputado Federal";3616;"AGIR";"AGIR";"Aguardando julgamento";"Concorrendo"
"FRANCISCO CARLOS CORTES ALVES";"CARLOS CORTES";"Deputado Federal";1593;"MDB";"MDB";"Aguardando julgamento";"Concorrendo"
"CARLOS ALBERTO CUNHA CRUZ";"CARLOS CRUZ";"Deputado Federal";1214;"PDT";"PDT";"Aguardando julgamento";"Concorrendo"
"CARLOS DARCY ALVES BERSOT";"CARLOS DARCY BERSOT";"Deputado Federal";1169;"PP";"PP";"Aguardando julgamento";"Concorrendo"
"CARLOS ANTONIO RIBEIRO PEREIRA";"CARLOS FARÉH";"Deputado Federal";5144;"PATRIOTA";"PATRIOTA";"Aguardando julgamento";"Concorrendo"
"ANTONIO CARLOS DA GAMA";"CARLOS GAMA";"Deputado Federal";3533;"PMB";"PMB";"Aguardando julgamento";"Concorrendo"
"CARLOS ROBERTO COELHO DE MATTOS JUNIOR";"CARLOS JORDY";"Deputado Federal";2211;"PL";"PL";"Aguardando julgamento";"Concorrendo"
"CARLOS ALBERTO DE MACEDO";"CARLOS MACEDO";"Deputado Federal";5156;"PATRIOTA";"PATRIOTA";"Aguardando julgamento";"Concorrendo"
"LUIZ CARLOS DAS NEVES";"CARLOS NEVES";"Deputado Federal";2050;"PSC";"PSC";"Aguardando julgamento";"Concorrendo"
"CARLOS JESUS ONTIVEROS GUARDIA";"CARLOS ONTIVEROS";"Deputado Federal";1218;"PDT";"PDT";"Aguardando julgamento";"Concorrendo"
"CARLOS ESEQUIEL DA SILVA SANTOS";"CARLOS PERRÉTO";"Deputado Federal";2736;"DC";"DC";"Aguardando julgamento";"Concorrendo"
"CARLOS ALBERTO SIQUEIRA DA SILVA";"CARLOS RUSSO";"Deputado Federal";1912;"PODE";"PODE";"Aguardando julgamento";"Concorrendo"
"CARLOS JOSE DE SANTANA";"CARLOS SANTANA";"Deputado Federal";2007;"PSC";"PSC";"Aguardando julgamento";"Concorrendo"
"CAROLINA TRINDADE CORRÊA";"CAROLINA FILHA DE ALAIR CORRÊA";"Deputado Federal";4445;"UNIÃO";"UNIÃO";"Aguardando julgamento";"Concorrendo"
"CAROLINA MARIA CARDOSO CALDEIRA DE LACERDA";"CAROLINA LACERDA";"Deputado Federal";9066;"PROS";"PROS";"Aguardando julgamento";"Concorrendo"
"CAROLINE MIDORI DA COSTA SILVA";"CAROL MIDORI";"Deputado Federal";1140;"PP";"PP";"Aguardando julgamento";"Concorrendo"
"ANA CAROLINA SPONZA BRAGA";"CAROL SPONZA";"Deputado Federal";3001;"NOVO";"NOVO";"Aguardando julgamento";"Concorrendo"
"ALEXANDRE CARVALHAL DA SILVA";"CARVALHAL";"Deputado Federal";3561;"PMB";"PMB";"Aguardando julgamento";"Concorrendo"
"CASSIO AVELAR";"CASSIO AVELAR";"Deputado Federal";9004;"PROS";"PROS";"Aguardando julgamento";"Concorrendo"
"CASSIO VINICIUS LOPES PORTES";"CASSIO LOPES";"Deputado Federal";1407;"PTB";"PTB";"Aguardando julgamento";"Concorrendo"
"CATIA MARIA FONSECA DA CRUZ";"CATIA CRUZ";"Deputado Federal";1068;"REPUBLICANOS";"REPUBLICANOS";"Aguardando julgamento";"Concorrendo"
"CATIA REGINA BATISTA DO NASCIMENTO";"CATIA NASCIMENTO";"Deputado Federal";5132;"PATRIOTA";"PATRIOTA";"Aguardando julgamento";"Concorrendo"
"JOAO ELIAS DOS SANTOS";"CAUTELA";"Deputado Federal";9056;"PROS";"PROS";"Aguardando julgamento";"Concorrendo"
"LEANDRO DE SOUZA CAVALIERI VALLE";"CAVALIERI";"Deputado Federal";1104;"PP";"PP";"Aguardando julgamento";"Concorrendo"
"CÉLIA MARIA DE ARAÚJO SILVA";"CÉLIA ARAÚJO";"Deputado Federal";3080;"NOVO";"NOVO";"Aguardando julgamento";"Concorrendo"
"JOÃO ALBERTO NEVES DOS SANTOS";"CEL PROF JOÃO NEVES";"Deputado Federal";3003;"NOVO";"NOVO";"Aguardando julgamento";"Concorrendo"
"CELSO CAETANO DE MIRANDA";"CELSO CAMPISTA";"Deputado Federal";2725;"DC";"DC";"Aguardando julgamento";"Concorrendo"
"ANTÔNIO CÉSAR DE JESUS DOREA";"CESAR DÓREA";"Deputado Federal";7711;"SOLIDARIEDADE";"SOLIDARIEDADE";"Aguardando julgamento";"Concorrendo"
"PAULO CESAR VIEIRA DE ALMEIDA FILHO";"CEZINHA DO MERCADO";"Deputado Federal";5120;"PATRIOTA";"PATRIOTA";"Aguardando julgamento";"Concorrendo"
"CLEBER ANTONIO DA SILVA";"CHAPINHA";"Deputado Federal";1132;"PP";"PP";"Aguardando julgamento";"Concorrendo"
"CHARBEL NICOLAU CAPAZ";"CHARBEL CAPAZ";"Deputado Federal";3039;"NOVO";"NOVO";"Aguardando julgamento";"Concorrendo"
"CHARLES MAURÍCIO DA SILVA";"CHARLES ADVENTE";"Deputado Federal";1467;"PTB";"PTB";"Aguardando julgamento";"Concorrendo"
"CARLOS HENRIQUE DE ANDRADE ADAO";"CHARLES HENRIQUEPEDIA";"Deputado Federal";2023;"PSC";"PSC";"Aguardando julgamento";"Concorrendo"
"CHARLLES BATISTA DA SILVA";"CHARLLES BATISTA";"Deputado Federal";2299;"PL";"PL";"Aguardando julgamento";"Concorrendo"
"ANTONIO ARLINDO DO NASCIMENTO";"CHAROPINHO 22";"Deputado Federal";2752;"DC";"DC";"Aguardando julgamento";"Concorrendo"
"DANIEL CARVALHO MATOS";"CHEF DANN";"Deputado Federal";2085;"PSC";"PSC";"Aguardando julgamento";"Concorrendo"
"CHEILA MOREIRA MACHADO ALVES";"CHEILINHA";"Deputado Federal";2715;"DC";"DC";"Aguardando julgamento";"Concorrendo"
"FRANCISCO SIEMSEN BULHÕES CARVALHO DA FONSECA";"CHICÃO BULHÕES";"Deputado Federal";5553;"PSD";"PSD";"Aguardando julgamento";"Concorrendo"
"FRANCISCO RODRIGUES DE ALENCAR FILHO";"CHICO ALENCAR";"Deputado Federal";5050;"PSOL";"Federação PSOL REDE(PSOL/REDE)";"Aguardando julgamento";"Concorrendo"
"FRANCISCO JOSE D'ANGELO";"CHICO D'ANGELO";"Deputado Federal";1210;"PDT";"PDT";"Aguardando julgamento";"Concorrendo"
"ALEXANDRE RODRIGO XAVIER BERRETA";"CHININHA";"Deputado Federal";7787;"SOLIDARIEDADE";"SOLIDARIEDADE";"Aguardando julgamento";"Concorrendo"
"JOÃO FRANCISCO INÁCIO BRAZÃO";"CHIQUINHO BRAZÃO";"Deputado Federal";4401;"UNIÃO";"UNIÃO";"Aguardando julgamento";"Concorrendo"
"CHRISTIANNE DUARTE GAROIU";"CHRIS DA QUATRO PATINHAS";"Deputado Federal";2264;"PL";"PL";"Aguardando julgamento";"Concorrendo"
"CHRISTIANE BATISTA NERI";"CHRIS NERI";"Deputado Federal";5133;"PATRIOTA";"PATRIOTA";"Aguardando julgamento";"Concorrendo"
"CHRISTINO AUREO DA SILVA";"CHRISTINO ÁUREO";"Deputado Federal";1155;"PP";"PP";"Aguardando julgamento";"Concorrendo"
"CHRISTINE NOGUEIRA DOS REIS TONIETTO";"CHRIS TONIETTO";"Deputado Federal";2214;"PL";"PL";"Aguardando julgamento";"Concorrendo"
"CINTIA ALVES SALGUEIRO SAVELLI";"CINTIA SAVELLI";"Deputado Federal";1123;"PP";"PP";"Aguardando julgamento";"Concorrendo"
"CLAUDIA DA SILVA";"CLAUDIA DO BRECHÓ";"Deputado Federal";9049;"PROS";"PROS";"Aguardando julgamento";"Concorrendo"
"CLAUDIA SILVA FERREIRA";"CLAUDIA FERREIRA";"Deputado Federal";3353;"PMN";"PMN";"Aguardando julgamento";"Concorrendo"
"CLÁUDIA MARTA XAVIER DOS SANTOS";"CLAUDIA MARTA";"Deputado Federal";4505;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Aguardando julgamento";"Concorrendo"
"CLAUDIA SIMONE DOS SANTOS";"CLAUDIA SANTOS";"Deputado Federal";5165;"PATRIOTA";"PATRIOTA";"Aguardando julgamento";"Concorrendo"
