"Nome Completo";"Nome Urna";"Cargo";"Número";"Partido";"Coligação";"Situação";"Situação Pós-Pleito"
"SUZANE FERREIRA VASCONCELLOS";"SUZANE VASCONCELLOS";"Deputado Federal";3313;"PMN";"PMN";"Aguardando julgamento";"Concorrendo"
"SYLVIO ALEXANDRE GOUVEA";"SYLVIO GOUVÊA";"Deputado Federal";1208;"PDT";"PDT";"Aguardando julgamento";"Concorrendo"
"TAÍS DE ALMEIDA OLIVEIRA";"TAÍS ALMEIDA";"Deputado Federal";2832;"PRTB";"PRTB";"Aguardando julgamento";"Concorrendo"
"TALÍRIA PETRONE SOARES";"TALIRIA PETRONE";"Deputado Federal";5077;"PSOL";"Federação PSOL REDE(PSOL/REDE)";"Aguardando julgamento";"Concorrendo"
"TANIA DIAS MARTINS BARBOZA";"TANIA DIAS ";"Deputado Federal";3536;"PMB";"PMB";"Aguardando julgamento";"Concorrendo"
"TARCISIO DE MIRANDA ASSED ESTEFAN";"TARCÍSIO MIRANDA ";"Deputado Federal";1515;"MDB";"MDB";"Aguardando julgamento";"Concorrendo"
"TARCÍSIO MOTTA DE CARVALHO";"TARCÍSIO MOTTA";"Deputado Federal";5000;"PSOL";"Federação PSOL REDE(PSOL/REDE)";"Aguardando julgamento";"Concorrendo"
"TAMIRES PIMENTEL MOREIRA";"TATÁ DO SOCIAL";"Deputado Federal";3342;"PMN";"PMN";"Aguardando julgamento";"Concorrendo"
"TATIANA MARINS ROQUE";"TATIANA ROQUE";"Deputado Federal";4013;"PSB";"PSB";"Aguardando julgamento";"Concorrendo"
"MARCELO MOSQUEIRA TAVEIROS";"TAVEIROS";"Deputado Federal";4527;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Aguardando julgamento";"Concorrendo"
"TAYNÁ SENA SANTOS LIMA";"TAYNÁ SENNA";"Deputado Federal";5570;"PSD";"PSD";"Aguardando julgamento";"Concorrendo"
"ANDREA LOURIÇAL FIRMO DE ARAUJO";"TENENTE CORONEL  ANDRÉA FIRMO";"Deputado Federal";1047;"REPUBLICANOS";"REPUBLICANOS";"Aguardando julgamento";"Concorrendo"
"LUCAS HENRIQUE FEITOSA DE MATTOS";"TENENTE LUCAS HENRIQUE";"Deputado Federal";1470;"PTB";"PTB";"Aguardando julgamento";"Concorrendo"
"THAYNÁ CHRISTINE DOS SANTOS GOULART";"THAYNÁ GOULART";"Deputado Federal";2788;"DC";"DC";"Aguardando julgamento";"Concorrendo"
"PAULO THIAGO FONSECA DE ARAUJO RIBEIRO";"THIAGO FONSECA";"Deputado Federal";7097;"AVANTE";"AVANTE";"Aguardando julgamento";"Concorrendo"
"THIAGO DE SOUZA LYRA";"THIAGO LYRA";"Deputado Federal";3690;"AGIR";"AGIR";"Aguardando julgamento";"Concorrendo"
"THIAGO DE SANT'ANNA CABRAL";"THIAGO RABONI";"Deputado Federal";1940;"PODE";"PODE";"Aguardando julgamento";"Concorrendo"
"THIAGO SANDERSON SANTOS DA CUNHA";"THIAGO SANDERSON";"Deputado Federal";7712;"SOLIDARIEDADE";"SOLIDARIEDADE";"Aguardando julgamento";"Concorrendo"
"THIAGO VASCONCELOS LEITE PINHEIRO";"THIAGO VASCONCELOS";"Deputado Federal";7088;"AVANTE";"AVANTE";"Aguardando julgamento";"Concorrendo"
"THIAGO DE OLIVEIRA XAVIER ROCHA";"THIAGO ZANATA";"Deputado Federal";1002;"REPUBLICANOS";"REPUBLICANOS";"Aguardando julgamento";"Concorrendo"
"THIMOTEO CAVALCANTI ALBUQUERQUE DE SÁ";"THIMOTEO CAVALCANTI";"Deputado Federal";7722;"SOLIDARIEDADE";"SOLIDARIEDADE";"Aguardando julgamento";"Concorrendo"
"THIAGO GOMES DO AMARAL";"TH O POVO PELO POVO";"Deputado Federal";9093;"PROS";"PROS";"Aguardando julgamento";"Concorrendo"
"CELIA CRISTINA DA SILVA";"TIA CÉLIA";"Deputado Federal";4475;"UNIÃO";"UNIÃO";"Aguardando julgamento";"Concorrendo"
"CÉLIA MARIA DIAS PEREIRA";"TIA CÉLIA";"Deputado Federal";9075;"PROS";"PROS";"Aguardando julgamento";"Concorrendo"
"ANA CLAUDIA DE AZEREDO  MELLO";"TIA CLAUDIA DO ESCOLAR";"Deputado Federal";1567;"MDB";"MDB";"Aguardando julgamento";"Concorrendo"
"GLAUCIA BARBOSA CANDIDO ALVES SLANA";"TIA GLAUCIA";"Deputado Federal";1285;"PDT";"PDT";"Aguardando julgamento";"Concorrendo"
"TIAGO NUNES DA CUNHA FILHO";"TIAGO CUNHA";"Deputado Federal";7716;"SOLIDARIEDADE";"SOLIDARIEDADE";"Aguardando julgamento";"Concorrendo"
"TIAGO FERNANDES COELHO";"TIAGO FERNANDES";"Deputado Federal";3022;"NOVO";"NOVO";"Aguardando julgamento";"Concorrendo"
"TIAGO GOMES DOS SANTOS";"TIAGO GOMES ";"Deputado Federal";4021;"PSB";"PSB";"Aguardando julgamento";"Concorrendo"
"IVANI BARRETO DE ALMEIDA CRAVO";"TIA IVANI";"Deputado Federal";9005;"PROS";"PROS";"Aguardando julgamento";"Concorrendo"
"SEBASTIÃO DA COSTA CANDIDO";"TIÃOZINHO DO JACARÉ";"Deputado Federal";1074;"REPUBLICANOS";"REPUBLICANOS";"Aguardando julgamento";"Concorrendo"
"VANDETE MARIA SOARES";"TIA VAN";"Deputado Federal";1991;"PODE";"PODE";"Aguardando julgamento";"Concorrendo"
"MAICY MONTEIRO DO AMARAL";"TINHA AMARAL";"Deputado Federal";7033;"AVANTE";"AVANTE";"Aguardando julgamento";"Concorrendo"
"CARLA CRISTINA MOTTA PEIXOTO";"TININHA";"Deputado Federal";3381;"PMN";"PMN";"Aguardando julgamento";"Concorrendo"
"ROGERIO DE OLIVEIRA ROSA";"TIO ROGÉRIO DOS BRINQUEDOS";"Deputado Federal";1566;"MDB";"MDB";"Aguardando julgamento";"Concorrendo"
"MILTON QUEIROZ DA PAIXAO";"TITA";"Deputado Federal";4507;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Aguardando julgamento";"Concorrendo"
"ANTONIO MARCOS RODRIGUES PIRES";"TONINHO BONDADE";"Deputado Federal";1225;"PDT";"PDT";"Aguardando julgamento";"Concorrendo"
"VALDOMARK BATISTA TAVARES";"VALDO TAVARES";"Deputado Federal";1321;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Aguardando julgamento";"Concorrendo"
"VALÉRIA BAILÃO MELO";"VALÉRIA BAILÃO";"Deputado Federal";1115;"PP";"PP";"Aguardando julgamento";"Concorrendo"
"VALERIA CRISTINA ANTUNES THOME  FERREIRA";"VALERIA THOME";"Deputado Federal";1404;"PTB";"PTB";"Aguardando julgamento";"Concorrendo"
"VALTER DE MELLO";"VALTER MELLO";"Deputado Federal";3306;"PMN";"PMN";"Aguardando julgamento";"Concorrendo"
"VANDA MARQUES DA COSTA";"VANDA MARQUES";"Deputado Federal";3678;"AGIR";"AGIR";"Aguardando julgamento";"Concorrendo"
"VANESSA BASONI PACHECO";"VANESSA BASONI";"Deputado Federal";5111;"PATRIOTA";"PATRIOTA";"Aguardando julgamento";"Concorrendo"
"VÂNIA MARIA BORGES DA LUZ";"VÂNIA LUZ";"Deputado Federal";1600;"PSTU";"PSTU";"Aguardando julgamento";"Concorrendo"
"MARCUS VENISSIUS DA SILVA BARBOSA";"VENISSIUS";"Deputado Federal";1919;"PODE";"PODE";"Aguardando julgamento";"Concorrendo"
"VERONICA CHAVES DE CARVALHO COSTA";"VERONICA COSTA";"Deputado Federal";2202;"PL";"PL";"Aguardando julgamento";"Concorrendo"
"VERONICA PENCO FIGUEIREDO";"VERONICA PENCO";"Deputado Federal";3648;"AGIR";"AGIR";"Aguardando julgamento";"Concorrendo"
"JORGE ROSA DA SILVA";"VIGILANTE JORGE ROSA";"Deputado Federal";1256;"PDT";"PDT";"Aguardando julgamento";"Concorrendo"
"VILLER TAVARES BARBOSA";"VILLER TAVARES";"Deputado Federal";3504;"PMB";"PMB";"Aguardando julgamento";"Concorrendo"
"VINÍCIUS CAMARGO PEREIRA DA COSTA";"VINICIUS CAMARGO";"Deputado Federal";1616;"PSTU";"PSTU";"Aguardando julgamento";"Concorrendo"
